date,晚盘价,早盘价
2025-01-15,636.95,637.69
2025-01-16,638.72,640.16
2025-01-19,637.91,634.46
2025-01-20,637.85,637.19
2025-01-21,643.32,643.21
2025-01-22,643.9,643.8
2025-01-23,646.59,647.03
2025-01-26,644.29,645.14
2025-02-04,668.01,667.7
2025-02-05,667.52,670.01
2025-02-06,668.03,669.65
2025-02-09,677.64,673.77
2025-02-10,684.64,690.04
2025-02-11,680.44,680.64
2025-02-12,683.34,683.74
2025-02-13,686.99,686.01
2025-02-16,676.02,676.13
2025-02-17,682.21,677.64
2025-02-18,686.61,688.38
2025-02-19,688.76,686.94
2025-02-20,683.66,685.51
2025-02-23,685.46,682.97
2025-02-24,684.99,687.73
2025-02-25,679.22,681.12
2025-02-26,676.54,680.22
2025-02-27,671.8,674.39
2025-03-02,672.23,672.32
2025-03-03,676.35,676.29
2025-03-04,681.66,680.09
2025-03-05,680.5,681.25
2025-03-06,679.43,677.83
2025-03-09,681.17,680.31
2025-03-10,677.38,676.08
2025-03-11,679.54,678.52
2025-03-12,684.56,684.48
2025-03-13,694.6,695.83
2025-03-16,695.68,695.16
2025-03-17,700.24,698.75
2025-03-18,707.67,704.63
2025-03-19,709.12,709.11
2025-03-20,705.83,707.47
2025-03-23,706.01,705.96
2025-03-24,705.12,704.05
2025-03-25,707.36,707.13
2025-03-26,708.8,707.9
2025-03-27,721.16,719.48
2025-03-30,728.34,724.1
2025-03-31,735.51,735.48
2025-04-01,732.66,736.02
2025-04-02,737.95,744.22
2025-04-06,716.19,723.52
2025-04-07,718.34,716.15
2025-04-08,726.26,719.02
2025-04-09,742.95,741.06
2025-04-10,756.94,760.66
2025-04-13,762.48,764.85
2025-04-14,762.75,762.49
2025-04-15,779.86,775.12
2025-04-16,788.32,789.87
2025-04-17,790.46,787.29
2025-04-20,803.84,800.44
2025-04-21,830.03,821.75
2025-04-22,786.16,804.14
2025-04-23,793.13,797.74
2025-04-24,785.9,797.03
2025-04-27,778.7,777.08
2025-04-28,782.74,787.13
2025-04-29,778.89,782.46
2025-05-05,792.86,796.33
2025-05-06,799.1,797.99
2025-05-07,786.98,804.64
2025-05-08,785.54,776.1
2025-05-11,766.27,770.45
2025-05-12,763.87,755.62
2025-05-13,758.55,761.21
